uuid,lat,lon,date,season,pl
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-11-14,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-11-21,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-12-05,2,1
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-12-19,2,1
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2016-12-26,2,1
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2017-01-02,2,1
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2017-01-09,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2017-01-16,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2017-01-23,2,1
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2017-01-30,2,0
ee2f89cf-145d-4dfd-b209-d5f3e5e05cb1,-16.971,27.09,2017-02-06,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-10-17,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-10-24,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-10-31,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-11-07,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-11-28,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-12-05,2,1
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-12-12,2,1
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-12-19,2,1
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2016-12-26,2,0
eeb933eb-9285-4741-8328-1ad1399cd5c4,-14.507,26.954,2017-01-09,2,1
f0118efa-efb8-4262-91b7-4748a6f02675,-16.932,27.286,2016-10-24,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-10-17,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-10-24,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-10-31,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-11-07,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-11-14,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-11-21,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-11-28,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-12-05,2,1
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2016-12-19,2,0
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2017-01-02,2,1
f08180bf-6738-4931-bb0a-c68a99dc113d,-16.733,27.237,2017-01-09,2,1
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2016-10-24,2,0
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2016-11-07,2,0
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2016-11-14,2,0
f08a0aa3-3e8a-48ad-8d89-bfa6eefff0e9,-16.961,27.032,2016-11-21,2,0
