names,year,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
10134023,16,-13.59,29.58,5,0.25,0,2015-12-06,,,,
10136001,16,-13.73,29.06,10,0.5,1400,2015-11-08,,,,
10136001,17,-13.73,29.06,15,1,1100,2016-11-24,,,,
10136002,16,-13.73,29.05,10,0.4,500,2015-12-13,,,,
10136002,17,-13.73,29.05,40,2,1750,2016-11-14,2016-11-02,,,
10136003,16,-13.73,29.07,40,2,655,2015-12-06,2016-01-04,,,
10136004,16,-13.73,29.06,20,1,850,2015-12-01,,,,
10136004,17,-13.73,29.06,15,0.75,1400,2016-11-14,,,,
10136005,16,-13.73,29.07,10,0.5,1500,2015-12-01,,,,
10136005,17,-13.73,29.07,15,1,1500,2016-12-05,,,,
10136006,16,-13.73,29.06,20,2,1500,2015-12-24,2015-12-24,,,
10136006,17,-13.73,29.06,30,1.5,40,2016-12-01,,,,
10136007,16,-13.73,29.05,10,0.4,430,2015-11-08,,,,
10136007,17,-13.73,29.05,15,1,750,2016-12-01,,,,
10136008,16,-13.73,29.06,15,0.75,400,2015-12-01,,,,
10136008,17,-13.73,29.06,10,1,1100,2016-11-07,,,,
10136009,16,-13.73,29.07,10,0.5,250,2015-12-06,,,,
10136010,16,-13.73,29.06,0,0,0,,,,,
10136010,17,-13.73,29.06,0,0,0,,,,,
10136011,16,-13.73,29.06,0,0,0,,,,,
10136012,16,-13.73,29.06,25,1.5,0,2015-12-06,,,,
10136012,17,-13.73,29.06,2,0.0399999991059303,50,2016-11-07,,,,
10136013,16,-13.73,29.06,5,0.2,250,2015-12-06,,,,
10136014,16,-13.74,29.07,10,0.25,200,2015-11-02,,,,
10136015,16,-13.73,29.05,15,0.6,950,2015-12-01,2015-12-24,,,
10136015,17,-13.73,29.05,20,1,2200,2016-12-23,,,,
10136016,16,-13.73,29.06,10,0.5,500,2015-12-01,,,,
10136016,17,-13.73,29.06,10,0.5,1000,2016-12-01,,,,
10136017,16,-13.73,29.06,10,0.4,1500,2015-12-01,,,,
10136018,16,-13.73,29.06,10,0.25,1500,2015-11-08,,,,
10136018,17,-13.73,29.06,10,0.5,2000,2016-11-07,,,,
10136019,16,-13.74,29.07,7.5,0.4,400,2015-11-15,,,,
10136019,17,-13.74,29.07,5,0.25,500,2016-11-14,,,,
10136020,16,-13.73,29.06,10,0.5,900,2015-12-06,,,,
10136020,17,-13.73,29.06,20,1,2400,2016-11-14,,,,
10136021,16,-13.73,29.04,20,1,1750,2015-11-24,2015-12-06,,,
10136021,17,-13.73,29.04,20,1,3800,2016-12-12,,,,
10136022,16,-13.74,29.07,10,0.5,750,2015-12-13,,,,
10136022,17,-13.74,29.07,10,0.5,750,2016-12-23,,,,
10136023,16,-13.73,29.06,25,1.6,500,2015-10-26,,,,
