names,lat,lon,seed,plot,harv,pd1,pd2,pd3,pd4,pd5
20106020,-13.47,27.91,10,0.5,400,2016-12-01,,,,
20106021,-13.45,27.92,10,0.5,1500,2016-12-01,,,,
20106024,-13.47,27.92,20,1,0,2016-12-12,,,,
20106025,-13.45,27.94,50,2.5,5000,2016-11-14,2016-11-14,,,
20106026,-13.47,27.91,30,1,0,2016-11-24,,,,
20106027,-13.45,27.93,10,0.5,1300,2016-11-14,2017-01-04,,,
20106029,-13.45,27.94,30,1.5,2000,2016-12-01,2016-12-05,2016-12-05,,
20106030,-13.45,27.93,10,0.5,400,2016-11-24,,,,
20106031,-13.45,27.93,25,0.900000005960465,1500,2016-11-14,2016-12-01,,,
20106032,-13.63,27.84,50,2.5,4750,2016-12-01,2016-12-05,,,
20106033,-13.62,27.83,75,3,1800,2016-10-26,,,,
20106034,-13.61,27.83,30,1.5,350,2016-12-01,2016-12-01,,,
20106035,-13.61,27.8,20,1,4300,2016-11-14,2016-12-05,,,
20106036,-13.58,27.85,30,1.5,1600,2016-11-07,2016-12-01,,,
20106037,-13.61,27.83,50,3,2250,2016-12-01,2016-12-05,,,
20106039,-13.63,27.84,50,3,4400,2016-12-01,,,,
20106041,-13.6,27.83,45,2,5250,2016-11-02,2016-12-01,2016-12-05,,
20106043,-13.58,27.84,25,1.25,1000,2016-12-01,2016-12-23,,,
20106044,-13.61,27.8,150,6,10500,2016-12-05,2016-12-05,2016-12-05,2016-12-05,
20106045,-13.63,27.84,40,2,1800,2016-12-01,2016-12-05,,,
20106046,-13.6,27.83,20,0.5,100,2016-12-01,,,,
20106047,-13.6,27.83,45,2.5,0,2016-11-24,2016-12-01,,,
20106048,-13.58,27.83,25,1.25,7100,2016-11-02,2016-11-24,,,
20106049,-13.58,27.84,25,1.5,5100,2016-12-01,,,,
20106050,-13.61,27.89,20,0.75,500,2017-01-18,,,,
20106051,-13.59,27.83,70,3.5,2500,2016-11-14,2016-12-01,,,
20106052,-13.63,27.83,110,5.5,0,2016-11-24,2016-11-24,2016-12-01,2016-12-05,
20106053,-13.33,28.37,75,3,12150,2016-12-01,,,,
20106054,-13.34,28.39,15,1,2000,2016-12-01,,,,
20106055,-13.39,28.44,30,1.5,5000,2016-12-05,2016-12-12,2016-12-12,,
20106057,-13.34,28.39,5,0.25,500,2016-12-01,,,,
20106058,-13.37,28.42,10,0.5,1500,2016-11-14,,,,
20106059,-13.34,28.37,30,1.75,25250,2016-12-01,2016-12-05,,,
20106060,-13.39,28.44,25,1.25,1750,2016-11-07,,,,
20106061,-13.34,28.34,15,0.75,600,2016-11-02,,,,
20106062,-13.38,28.42,10,0.5,1100,2016-12-23,,,,
20106063,-13.33,28.37,60,3,10000,2016-12-12,,,,
20106064,-13.38,28.44,20,1,1750,2016-12-01,,,,
